claim,claimant,claim date,text review,title,language
"""Ted Cruz says owning a gun should be as hassle free as owning a car, which as I recall requires a license and registration.""",Facebook posts,2021-03-26T00:00:00Z,False,"No evidence Ted Cruz made statement about guns, cars",en
"Autarca de Penafiel cancelou ""Baile dos Pretos"", tradição de ""blackface"", e culpou ""puritanismos"".",,2022-05-21T14:00:00Z,True,"Autarca de Penafiel cancelou ""Baile dos Pretos"", tradição de ""blackface"", e culpou ""puritanismos""? É verdade",pt
This was the letter that launched Project Cheetah in 2009. Our PM is a pathological liar. I couldn’t lay my hands on this letter yesterday because of my preoccupation with the #BharatJodoYatra,Jairam Ramesh,2022-09-18T00:00:00Z,True,Project Cheetah is a Congress government project that was delayed by litigations. - You Turn,en
"""Colômbia, e quando um presidente quer injectar todo o País mas ele próprio não se inocula, isso é o quê!?
Pelas suas palavras há mais, o moço de recados da NOM o Emmanuel, também não é parvo.""",Utilizador do Facebook,2021-11-08T10:59:38Z,False,Fact Check. Presidente da Colômbia recusou ser vacinado contra a Covid-19?,pt
Se renudaran las clases en todos los niveles de forma presencial debido a las quejas,Redacción Animal Político,2020-08-31T15:05:08Z,False,La SEP no ha anunciado la reanudación de clases en forma presencial,es
"l Ministro della Difesa dell'Ucraina Oleksiy Reznikov: ""Un numero enorme di ucraini etnici vive in Canada, è una delle più grandi comunità nazionali. Ora, quando la patria storica ha bisogno di loro, devono essere qui. Sono cittadini canadesi, ma soprattutto ucraini. Chiederemo al governo canadese di mandarci, estradandoli se necessario, 30.000 uomini in età militare""",,2023-08-03T00:00:00Z,False,L'Ucraina non ha chiesto ai suoi cittadini stanziati in Canada di combattere,it
Hino Nacional 7 de setembro Caminhoneiros bloqueiam estrada. PFR e Exército são chamados. Vejam o que acontece!,Mensagem em redes sociais,,False,Caminhoneiros cantam Hino Nacional durante bloqueio de estrada em setembro de 2021 #boato,pt
"Claims that former Democratic Rep. Beto O'Rourke referred to seniors and wounded veterans as ""garbage.""",Viral memes,2018-12-29T00:00:00Z,False,O'Rourke Didn't Trash Seniors and Veterans,en
purports to show a poster indicating former President Donald Trump is allegedly a 'registered sex offender',Post,2023-05-10T00:00:00Z,False,"FACT CHECK: No, A Poster Identifying Donald Trump As A ‘Registered Sex Offender’ Is Not Real",en
A 'Betty' comic book from 1997 predicted kids in 2021 would attend virtual schools at home via computers with cameras,social media users,2021-03-30T00:00:00Z,True,Fact check: 'Betty' comic from 1997 showed kids attending virtual school in 2021,en
Argentina vacinando duas vezes a mesma pessoa,Várias fontes,2020-12-30T00:00:00Z,False,"O médico fotografado em La Rioja, na Argentina, não foi vacinado duas vezes com a Sputnik V",pt
Video shows actual meteor hitting Baltic Sea,Social media,2022-11-29T00:00:00Z,False,Fact check: Video showing purported meteor strike a digital creation,en
"In April 2021, NASA discovered an “Earth-size, habitable planet.”",,,True,Did NASA Discover a New Planet?,en
Britain’s Queen Elizabeth wears matching masks during COVID-19,Multiple Sources,2020-03-25T00:00:00Z,False,The photos were doctored by an Italian artist from old images shot before the pandemic,en
Yes votes disappeared from totals during Gavin Newsom recall election,Multiple people,2021-09-15T00:00:00Z,False,Human error fuels claims of California recall vote irregularities,en
"«C’erano tre questioni importanti in Italia: il Mes, il Consiglio dei ministri sullo stato di emergenza e dovevamo rendere omaggio alle vittime del maltempo. Al G20, inoltre, mancavano Mike Pompeo e i miei omologhi inglesi e francesi»",Luigi Di Maio,2019-11-24T00:00:00Z,True,"Di Maio non è andato al G20, ma non è stato il solo",it
"এটি হলো সুরমা পাহাড়, আমরা যা চোখে দেই",Facebook Posts,2022-02-02T00:00:00Z,False,ছবিটি সুরমা নামের কোনো পাহাড়ের নয়,bn
"The chyron text displayed during a TV news report on the death of Queen Elizabeth II said, ""Queen's eldest son, Charles automatically becomes queen.""",,,True,Did TV News Chyron Say Prince Charles 'Automatically Becomes Queen'?,en
"सोमनाथ का किया हल कर दिया है, पुलिस वालों को कहा था की वर्दी उतरवा देगा, और योगी जी को जान से मारने की धमकी दी थी पुलिस वालों के सामने, ये बातन भूल गये थे अब up मे योगी जी है, इसका तो पैंट पिला हो गया",Facebook posts,2021-01-18T14:15:02Z,False,आम आदमी पार्टी के सोमनाथ भारती की एडिट की हुई तस्वीर वायरल,hi
"Namamahagi ng P10,000 ayuda si senator-elect Raffy Tulfo.",,2022-06-28T05:24:00Z,False,"HINDI TOTOO: P10,000 ayuda mula kay Raffy Tulfo",fil
राहुल गांधी ने दुर्गा आरती करने से माना कर दिया,"Ashoke Pandit, Himanshu Jain, Social Media Users",2016-06-20T00:00:00Z,False,फ़ैक्ट-चेक: राहुल गांधी ने हिन्दू देवी दुर्गा की आरती करने से मना कर दिया?,hi
तस्वीर डायरेक्ट from भगवंत मान जी की शादी से,VJ Adhikari,2022-07-08T07:46:10Z,False,Fact Check: भंडारे में खाना खाते सीएम केजरीवाल की तस्वीर को भगवंत मान की शादी से जोड़कर किया जा रहा शेयर,hi
"""Se receber mais de 500 euros por transferência tenho de declarar em IRS e pagar 10% em impostos""",,2023-03-29T09:00:00Z,True,"""Se receber mais de €500 por transferência tenho de declarar em IRS e pagar 10% em impostos""?",pt
Demise of famous folk singer Sharada Sinha,FB User Amit Srivastav,2020-08-26T15:20:28Z,False,"Fact Check: Folk singer Sharda Sinha is alive, news about her death is fake",en
Video shows an amazing behind-the-back return by Japanese tennis player Yoshihito Nishioka.,,,True,Amazing Behind-the-Back Tennis Return,en
Tentativa de assassinato do Príncipe herdeiro da Arábia Saudita hoje em Riyad. O bicho pega para aquelas bandas,Mensagem em redes sociais,,False,Vídeo mostra tentativa de assassinato do príncipe herdeiro da Arábia Saudita hoje #boato,pt
मध्य प्रदेश के उज्जैन मे जिहादी मुल्लो द्वारा पथराव के खिलाफ हिन्दुओं ने मस्जिद के सामने अपनी एकता का परिचय दिखाया।,Social Media User,2020-12-28T00:00:00Z,False,क्या उज्जैन के किसी मस्जिद की है सोशल मीडिया में वायरल हो रही यह वीडियो क्लिप?,hi
"“Ja mogu da ga ne potpišem (zakon o eksproprijaciji prim.aut.) samo ako nađem da je nešto protivustavno. Pošto nisam našao, a obećao sam ljudima, ako ni zbog čega drugog onda zbog tog jednog člana i mogućnosti hitnog oduzimanja imovine bez obzira što plaćate po tržišnoj ceni. Dakle, zato što smatram da je nemoguće da ja dođem kod vas ili da vi dođete kod mene i kažete iseli se iz kuće u kojoj si živeo 15 godina u roku od pet dana.“",Aleksandar Vučić,2021-12-04T00:00:00Z,False,Ja mogu da ne potpišem zakon samo ako nađem da je nešto protivustavno,sr
Portugal registou a maior carga fiscal de sempre em 2022.,,2023-04-27T10:00:00Z,True,"É verdade que ""Portugal registou a maior carga fiscal de sempre"" em 2022?",pt
PTI tweeted that Kuki militants in Manipur surrendered after Rahul Gandhi’s visit,Social Media,2023-06-30T00:00:00Z,False,Fact Check: Did Kuki Insurgents In Manipur Surrender After Rahul Gandhi’s visit? Here’s The Truth | Newsmobile,en
Video shows tomatoes being discarded in Pakistan because they were sent from Shia majority Iran,"Zee News, Firstpost",2022-09-14T11:16:54Z,False,"Zee News, Firstpost Misreport Tomato Protest In Pak With False Shia-Sunni Spin | BOOM",en
"هل يشترط صندوق النقد على لبنان حماية ""صغار المودعين""؟",,2022-02-16T00:00:00Z,True,"هل يشترط صندوق النقد على لبنان حماية ""صغار المودعين""؟",ar
සමාජ මාධ්‍ය ජාලා ඔස්සේ හුවමාරු වූ අසභ්‍ය දර්ශන ඇතුළත් වීඩියෝ පටයේ තිබු වාහනයේ හිමිකරු විමල් කැටපේආරච්චි ද? | Series of Fake claims targeted towards NPP candidate Wimal Katipearachchi in relation to a viral video,https://archive.is/wip/zDHHx,2021-01-04T00:00:00Z,False,FACT CHECK: සමාජ මාධ්‍ය ජාලා ඔස්සේ හුවමාරු වූ අසභ්‍ය දර්ශන ඇතුළත් වීඩියෝ පටයේ තිබු වාහනයේ හිමිකරු විමල් කැටපේආරච්චි ද?,si
লালু প্রসাদ যাদবের পুত্র তেজস্বী যাদবের বাড়ি থেকে ইডির টাকা ও সোনার গহনা উদ্ধারের ছবি,Facebook Posts,2023-03-12T15:52:15Z,False,"তেজস্বী যাদবের ঘরে ইডির টাকা, গহনা উদ্ধার দাবিতে সম্পর্কহীন ছবি ছড়াল",bn
वीडियो में दिख रहा पुलिसकर्मी अपनी वर्दी का गलत इस्तेमाल कर रहा है.,Abdulsalaam नाम के फेसबुक यूजर,,False,फैक्ट चेक: रेसलर 'दुबे जी' के इस नाटकीय वीडियो को लोगों ने माना सच,hi
